,utt,intent,index
137,please transfer $100 from my checking to my savings account,transfer,1
138,transfer $500 from my money market savings account to my checking account,transfer,1
139,send money from one account to another,transfer,1
140,transfer 200 dollars from paypal to savings,transfer,1
141,transfer $10 from checking to savings,transfer,1
142,send $100 from paypal to my bank,transfer,1
143,please transfer 100 dollars between my amazon payments and savings accounts,transfer,1
144,i would like to make a transfer,transfer,1
145,i want to transfer funds between accounts,transfer,1
146,send over 50 dollars between my shared and not shared accounts,transfer,1
147,whats the quickest way to money from one account to another,transfer,1
148,what is the process to move money from one account to another,transfer,1
149,i need you to send 500 dollars from my high tier account to my regular checking account,transfer,1
150,can you transfer money from a to b,transfer,1
151,send my money between accounts,transfer,1
152,how can i send money from one account to another,transfer,1
153,i need to move money from one account to another,transfer,1
154,send $20 from debit to steve's account,transfer,1
155,send 20 dollars from savings to checking,transfer,1
156,please transfer my funds,transfer,1
157,please transfer $50 to my checking account from credit,transfer,1
158,go ahead and move $200 from amazon to my bank account,transfer,1
159,help me move my money,transfer,1
160,i need my money to be moved,transfer,1
161,help me move my money please,transfer,1
162,i need to move my money,transfer,1
163,move my money please,transfer,1
164,i would like to transfer $5 from savings to checking,transfer,1
165,transfer $5 from savings to checking,transfer,1
166,can you transfer $5 from savings to checking,transfer,1
167,send $5 from savings to checking,transfer,1
168,please transfer $5 from savings to checking,transfer,1
169,please switch $s checking to mortage,transfer,1
170,please transfer $s from saving to checking,transfer,1
171,could you transfer $x from saving to checking,transfer,1
172,help me transfer $x from credit to debit,transfer,1
173,please transfer $x from checking to saving,transfer,1
174,transfer money to another account,transfer,1
175,requesting money transfer between accounts,transfer,1
176,transfer money from this account to that account,transfer,1
177,can you transfer money from my account,transfer,1
178,money transfer request,transfer,1
179,send 100 dollars from checking to savings,transfer,1
180,transfer 100 dollars checking to savings,transfer,1
181,transfer 100 dollars between checking and savings,transfer,1
182,take 100 dollars from checking and send it to savings,transfer,1
183,move 100 dollars from checking to savings,transfer,1
184,can we wire some money over to the other account i have,transfer,1
185,time to move some cash from one account to another,transfer,1
186,i need to throw some money into that other account,transfer,1
187,let's send some money to another account,transfer,1
188,i want to initiate a transfer from one account to the other,transfer,1
189,transfer money from one place to another,transfer,1
190,move money from one account to another,transfer,1
191,transfer between two accounts,transfer,1
192,make a transfer between accounts,transfer,1
193,send money to another account,transfer,1
194,i need ten dollars sent from b of a to washington mutual,transfer,1
195,transfer fifty dollars between my chase and bank of america account,transfer,1
196,deposit ten bucks from my chase account to my ally account,transfer,1
197,put a hundred dollars in my ally account from bluebird,transfer,1
198,i want seventy bucks transferred from b of a to chase,transfer,1
199,can i initiate a one-time transfer from my savings account to my money market account,transfer,1
200,please set a 4 minute timer,timer,2
201,please set a timer for 6 minutes,timer,2
202,set a timer for 5 minutes,timer,2
203,i need a 7 minute timer,timer,2
204,i need to set the timer for two minutes,timer,2
205,can you set a timer for me for fifteen minutes starting now,timer,2
206,start the timer now and stop at thirty minutes,timer,2
207,i would like you to set the timer to go off in ten minutes,timer,2
208,please set a timer for 40 minutes,timer,2
209,wake me in an hour,timer,2
210,please set a timer for cookies,timer,2
211,i want a timer set,timer,2
212,remind me in (x) hours,timer,2
213,set timer for (x) minutes,timer,2
214,i gotta have a 10 minute timer,timer,2
215,please set a timer for me,timer,2
216,i need a 10 minute timer,timer,2
217,i wish to have a 10 minute timer,timer,2
218,i really need to set a timer,timer,2
219,set a new timer for ten seconds,timer,2
220,set a timer for me,timer,2
221,i want a 10 minute timer,timer,2
222,i gotta set a timer,timer,2
223,set a 10 minute timer,timer,2
224,set a brand new timer for eight seconds,timer,2
225,set a ten second timer,timer,2
226,i must set a timer,timer,2
227,set a timer for twelve seconds,timer,2
228,set a timer for fifteen seconds,timer,2
229,tell me when two minutes are up,timer,2
230,start a timer for two minutes,timer,2
231,set a timer for two minutes,timer,2
232,start counting down from two minutes,timer,2
233,can you set a timer for two minutes,timer,2
234,"""please set 5 minute timer",timer,2
235,can u please set the timer for 5 minutes,timer,2
236,set timer of 5 minutes,timer,2
237,"""can u set a timer for 5 minutes",timer,2
238,set a one hour timer,timer,2
239,please set a timer for 20 minutes,timer,2
240,set a five minute timer please,timer,2
241,set a timer for two hours,timer,2
242,can you set a two hour timer,timer,2
243,set the timer for me please,timer,2
244,you need to set the timer for me,timer,2
245,i need you to set timer for me,timer,2
246,please set the timer for me,timer,2
247,i would like a timer set,timer,2
248,can you set a timer,timer,2
249,i need you to set a time,timer,2
250,i need a timer set for 15 minutes,timer,2
251,start a countdown for 20 minutes,timer,2
252,set a timer for 15 minutes,timer,2
253,i'll need you to set a timer for 10 minutes,timer,2
254,let's get a timer set for 5 minutes,timer,2
255,set a timer for 35 minutes,timer,2
256,please start counting down from 10 minutes,timer,2
257,let's get a timer going for 10 minutes,timer,2
258,i need a timer for 20 seconds,timer,2
259,timer 5 minutes,timer,2
260,alert me in 20 minutes,timer,2
261,give me a 10 minute countdown,timer,2
262,let me know in 15 minutes please,timer,2
263,"i'm cooking an egg, timer for 3 mins",timer,2
264,10 minute timer,timer,2
265,start a timer for 10 minutes,timer,2
266,timer 10 minutes,timer,2
267,count down 10 minutes,timer,2
268,make up a timer for me,timer,2
269,create a timer for me,timer,2
270,can you set a timer for me,timer,2
271,i need to set a timer,timer,2
272,set up a timer,timer,2
273,could you start a timer for me,timer,2
274,lets set a timer for me,timer,2
275,please run a timer for me,timer,2
276,set a one minute timer,timer,2
277,set a five minute timer,timer,2
278,set a seven minute timer,timer,2
279,start a timer for me,timer,2
280,set a four minute timer,timer,2
281,set a six minute timer,timer,2
282,how do i set a timer,timer,2
283,i want a timer for 5 minutes,timer,2
284,timer for 5 minutes,timer,2
285,set a timer to go off in 5 minutes,timer,2
286,set timer for 5 minutes,timer,2
287,i want to set a timer,timer,2
288,make a timer for 5 minutes,timer,2
289,please set a timer for,timer,2
290,remind me that time is up in sixty minutes,timer,2
291,set an alarm for nine minutes from now,timer,2
292,tell me when ninety minutes have passed,timer,2
293,please set timer for 4 pm,timer,2
294,want 5 minute timer,timer,2
295,set 30 minute timer,timer,2
296,get a 3 minute timer,timer,2
297,"please, can you set the timer for me",timer,2
298,can you please the timer,timer,2
299,will you set the timer,timer,2
300,what is the meaning of realism,definition,3
301,what is regard mean,definition,3
302,what is the meaning of interorganizational,definition,3
303,what is it is all relative mean,definition,3
304,what is intercontinental mean,definition,3
305,what is the meaning of supercede,definition,3
306,what is let it be mean,definition,3
307,what is the definition of incomprehensible,definition,3
308,what is the meaning of stupendous,definition,3
309,what is the definition of intelligent,definition,3
310,what is good riddance mean,definition,3
311,what is break a leg mean,definition,3
312,what is the meaning of hyperactive,definition,3
313,what is the definition of valor,definition,3
314,what is stupedous meant,definition,3
315,find the meaning of qat,definition,3
316,what the heck is qat,definition,3
317,define qat for me,definition,3
318,read me a definition for qat,definition,3
319,look up qat please,definition,3
320,what might the meaning of altruism be,definition,3
321,exactly what does altruism mean,definition,3
322,what does altruism mean,definition,3
323,what is the definition of altruism,definition,3
324,what is the meaning of altruism,definition,3
325,affiliate's definition is what,definition,3
326,the definition of affiliate is,definition,3
327,what's the meaning of affiliate,definition,3
328,what's affiliate definition,definition,3
329,definition of affiliate is what,definition,3
330,whats the definition of poor,definition,3
331,"describe the meaning of ""dog",definition,3
332,"what does ""money"" mean",definition,3
333,tell me what the word die means,definition,3
334,what is the definition of succumb,definition,3
335,what is the meaning of telepathy,definition,3
336,what does tertiary mean,definition,3
337,tell me the definition of the word redemption,definition,3
338,what is the meaning of the word lux,definition,3
339,what is an ataraxy,definition,3
340,what does the word ataraxy mean,definition,3
341,what does ataraxy mean,definition,3
342,use the word ataraxy in a sentence,definition,3
343,define ataraxy,definition,3
344,what does discretionary mean,definition,3
345,define discretionary,definition,3
346,i want to know the definition of discretionary,definition,3
347,can you give the definition of deiscretionary,definition,3
348,let's hear the definition of iridium,definition,3
349,what's the definition of analogy,definition,3
350,can you tell me the definition of sucrose,definition,3
351,definition of anachronism,definition,3
352,what's the definition of patriarchy,definition,3
353,can you tell me the definition of yttrbium,definition,3
354,please share the definition of episcopalian,definition,3
355,what does saffron mean,definition,3
356,define sonogram,definition,3
357,define thoroughbred,definition,3
358,what's the meaning of a fortnight,definition,3
359,what is an anachronism,definition,3
360,what's the meaning of emulsify,definition,3
361,tell me what cyst means,definition,3
362,what is the definition of flange,definition,3
363,tell me what flange means,definition,3
364,define flange,definition,3
365,flange means what,definition,3
366,what is the meaning of flange,definition,3
367,"what does ""rescind"" mean",definition,3
368,"what is the meaning of word ""rescind",definition,3
369,"is ""rescind"" a word of positive connotation",definition,3
370,"where i can use word ""rescind",definition,3
371,read me the definition of ajar,definition,3
372,what does ajar mean,definition,3
373,can you show me the dictionary definition of ajar,definition,3
374,tell me what monstrosity means,definition,3
375,give me the definition of ajar,definition,3
376,what is the definition of didactic,definition,3
377,i need to know what adumbrate means can you look it up for me now,definition,3
378,i want to know what the word discomfit means,definition,3
379,find what the word diaphanous mean please,definition,3
380,do you know what calumny means  please look it up for me,definition,3
381,find out what the word abrogate means for me,definition,3
382,tell me what edict means,definition,3
383,what does the word abjure mean,definition,3
384,can you tell me what dirge means,definition,3
385,tell me what the word arboreal means,definition,3
386,whats the definition of transmute,definition,3
387,what is the meaning of the word slander,definition,3
388,what is meant by defense,definition,3
389,tell me what the word bounty means,definition,3
390,what does deceive mean,definition,3
391,define zesty,definition,3
392,look up zesty in dictionary,definition,3
393,definition of zesty,definition,3
394,what is the definition of zesty,definition,3
395,what does zesty mean,definition,3
396,tell me what alternative means,definition,3
397,what does alternative mean,definition,3
398,give me the meaning of alternative,definition,3
399,tell me the meaning of alternative,definition,3
400,does life have meaning,meaning_of_life,4
401,is being alive the meaning of life,meaning_of_life,4
402,what is the real meaning of life,meaning_of_life,4
403,what is the answer to the meaning of life,meaning_of_life,4
404,is there really an answer to the meaning of life,meaning_of_life,4
405,does life have a meaning,meaning_of_life,4
406,who can tell me if there's any meaning to life,meaning_of_life,4
407,what makes life have any meaning,meaning_of_life,4
408,why do you think we're here,meaning_of_life,4
409,what's the answer to existence,meaning_of_life,4
410,what's the point of sentience,meaning_of_life,4
411,what's the purpose of existence,meaning_of_life,4
412,what's the purpose of life,meaning_of_life,4
413,what's the point of this dumpster fire known as life,meaning_of_life,4
414,what is life's meaning,meaning_of_life,4
415,is there a greater purpose in life,meaning_of_life,4
416,what is our purpose in life,meaning_of_life,4
417,how is life in existence,meaning_of_life,4
418,what's lifes meaning,meaning_of_life,4
419,what exactly is the meaning of life,meaning_of_life,4
420,whats lifes meaning exactly,meaning_of_life,4
421,what's the meaning of this life,meaning_of_life,4
422,what is the meaning of life here,meaning_of_life,4
423,does my life have meaning,meaning_of_life,4
424,i wish to know the meaning of life,meaning_of_life,4
425,i wanna know the meaning of life,meaning_of_life,4
426,i wanna know the point of life,meaning_of_life,4
427,i need to know the point of life,meaning_of_life,4
428,i must know the point of life,meaning_of_life,4
429,tell the meaning of life,meaning_of_life,4
430,i gotta know the meaning of life,meaning_of_life,4
431,what is your take on the meaning of life,meaning_of_life,4
432,tell me what is the purpose of life,meaning_of_life,4
433,what meaning does life hold,meaning_of_life,4
434,what do you think is the meaning of like,meaning_of_life,4
435,how do i find the meaning of life,meaning_of_life,4
436,what is the purpose of exsistance,meaning_of_life,4
437,what is your version on the meaning of life,meaning_of_life,4
438,what is your explanation for the meaning of life,meaning_of_life,4
439,what is the purpose of creation,meaning_of_life,4
440,can you figure out the meaning of life,meaning_of_life,4
441,whats your take on the meaning of life,meaning_of_life,4
442,can you explain the meaning of life to me,meaning_of_life,4
443,what is life all about,meaning_of_life,4
444,can you explain the meaning of life,meaning_of_life,4
445,"what's the point of life, anyways",meaning_of_life,4
446,the meaning of life please,meaning_of_life,4
447,the meaning of life,meaning_of_life,4
448,i'd like to me told the meaning of life,meaning_of_life,4
449,do you know the meaning of life,meaning_of_life,4
450,say what the meaning of life is,meaning_of_life,4
451,can you tell me life's meaning,meaning_of_life,4
452,what's the meaning of my life,meaning_of_life,4
453,what is the underlying purpose to life,meaning_of_life,4
454,what do you think about the meaning of life,meaning_of_life,4
455,what is life’s meaning,meaning_of_life,4
456,help me figure out the meaning of life,meaning_of_life,4
457,"would you tell me the meaning of life, please",meaning_of_life,4
458,"could you tell me the meaning of life, please",meaning_of_life,4
459,can you tell me the meaning of life,meaning_of_life,4
460,could you tell me the meaning of life,meaning_of_life,4
461,"can you tell me the meaning of life, please",meaning_of_life,4
462,what does life mean to you,meaning_of_life,4
463,is there really a meaning of life,meaning_of_life,4
464,is there any meaning to being alive,meaning_of_life,4
465,what is the meaning of my life,meaning_of_life,4
466,what is the point of life,meaning_of_life,4
467,what's the point of everything,meaning_of_life,4
468,is there a meaning to life,meaning_of_life,4
469,why are we here in life,meaning_of_life,4
470,can you share the meaning of life,meaning_of_life,4
471,research the meaning of life,meaning_of_life,4
472,can you tell me what you think the meaning of life is,meaning_of_life,4
473,what is our purpose here on earth,meaning_of_life,4
474,is love the meaning of life,meaning_of_life,4
475,is there a reason people exist,meaning_of_life,4
476,what is the secret or meaning to life,meaning_of_life,4
477,what does life mean on a deeper level,meaning_of_life,4
478,how would you put what life is all about,meaning_of_life,4
479,how would you describe what life means,meaning_of_life,4
480,what do people say life means or the meaning is,meaning_of_life,4
481,life has what meaning or what's the secret to it,meaning_of_life,4
482,where is there meaning in life,meaning_of_life,4
483,what is the meaning of this life,meaning_of_life,4
484,do you know what the meaning of life is,meaning_of_life,4
485,what's life's meaning,meaning_of_life,4
486,"does life have a meaning, according to you",meaning_of_life,4
487,does this life have a meaning,meaning_of_life,4
488,can you share with me your interpretation of the meaning of life,meaning_of_life,4
489,what do you think is the meaning of life,meaning_of_life,4
490,is there a meaning in life,meaning_of_life,4
491,i wonder if you can explain the meaning of life,meaning_of_life,4
492,"i always wonder about the meaning of life, can you tell me",meaning_of_life,4
493,what's my meaning in life,meaning_of_life,4
494,define the meaning of life,meaning_of_life,4
495,meaning of life is,meaning_of_life,4
496,what is your perception of the meaning of life,meaning_of_life,4
497,whats the meaning of life,meaning_of_life,4
498,what do you think the meaning of life is,meaning_of_life,4
499,what is behind life's meaning,meaning_of_life,4
500,how to create a new aaa insurance plan,insurance_change,5
501,website to start aaa new insurance plan,insurance_change,5
502,aaa insurance start new plan,insurance_change,5
503,i want to start a new aaa insurance plan,insurance_change,5
504,is new this a good insurance plan for me,insurance_change,5
505,what do i do to get new insurance,insurance_change,5
506,new insurance is obtainable how,insurance_change,5
507,how is new insurance gotten,insurance_change,5
508,what do i do for new insurance,insurance_change,5
509,"how do i get new insurance, please",insurance_change,5
510,how can i obtain new insurance,insurance_change,5
511,"how can i obtain new insurance, please",insurance_change,5
512,"how can i get new insurance, please",insurance_change,5
513,how do i make my insurance policy different,insurance_change,5
514,how do i change my insurance policy,insurance_change,5
515,how do i modify my insurance policy,insurance_change,5
516,how do i alter my insurance policy,insurance_change,5
517,how do i get different terms on my insurance policy,insurance_change,5
518,help me change my insurance plan,insurance_change,5
519,i would like a new insurance plan,insurance_change,5
520,connect me with some new insurance,insurance_change,5
521,i need a newer insurance plan,insurance_change,5
522,my insurance plan needs to be changed,insurance_change,5
523,what rental insurance policy do you recommend,insurance_change,5
524,help me find a new auto insurance policy,insurance_change,5
525,find the best life insurance for me,insurance_change,5
526,i need new home owners insurance,insurance_change,5
527,i need new health care coverage,insurance_change,5
528,how do i change my current insurance to a new plan with lower co-pay,insurance_change,5
529,what steps do i need to take to switch my insurance plan from an hmo to a high deductible ppo plan,insurance_change,5
530,i need to change my insurance to a plan with a lower deductible,insurance_change,5
531,how do i go about changing my insurance to a new low monthly premium plan,insurance_change,5
532,i would like to change my insurance from a ppo to an hmo plan,insurance_change,5
533,help me figure out getting new insurance,insurance_change,5
534,i would like to get a new insurance plan,insurance_change,5
535,i want help adjusting my insurance policy,insurance_change,5
536,i am hoping to switch insurance plans,insurance_change,5
537,i need help acquiring new insurance,insurance_change,5
538,walk me through the process of getting new insurance,insurance_change,5
539,i am interested in acquiring new insurance,insurance_change,5
540,how can i acquire new insurance,insurance_change,5
541,what must i do if i want to adjust my insurance policy,insurance_change,5
542,what is the protocol for modifying my insurance policy,insurance_change,5
543,i dont like my current insurance plan and want a new one,insurance_change,5
544,walk me through making changes to my insurance policy,insurance_change,5
545,i need new insurance but dont know how to get it,insurance_change,5
546,i am thinking of switching to a different insurance plan,insurance_change,5
547,help me modify my insurance policy,insurance_change,5
548,could you help me out with a new renters' insurance plan,insurance_change,5
549,i'd like a new life insurance plan,insurance_change,5
550,can you help me with a new car insurance plan,insurance_change,5
551,i need to get a new motorcycle insurance plan,insurance_change,5
552,can i get a new pet insurance plan,insurance_change,5
553,where do i go to get new insurance,insurance_change,5
554,"i need new insurance, how do i get it",insurance_change,5
555,how do i apply for new insurance,insurance_change,5
556,i would like you to help me get on another united healthcare insurance plan,insurance_change,5
557,can you help me get on a new united healthcare insurance plan,insurance_change,5
558,i want to find a new united healthcare plan to get on,insurance_change,5
559,i'd like to get on a new united healthcare plan,insurance_change,5
560,i need to get on a new united healthcare insurance plan,insurance_change,5
561,help make changes to my insurance policy,insurance_change,5
562,i must switch to a new insurance plan,insurance_change,5
563,i need help to make changes to my insurance policy,insurance_change,5
564,i gotta switch to a new insurance plan,insurance_change,5
565,help me make changes to my insurance policy,insurance_change,5
566,i need to switch to a new insurance plan,insurance_change,5
567,i really need to switch to a new insurance plan,insurance_change,5
568,i would like to make changes to my insurance policy,insurance_change,5
569,i need to make changes to my insurance policy,insurance_change,5
570,i shall switch to a new insurance plan,insurance_change,5
571,how do i update my insurance,insurance_change,5
572,how can i get new insurance,insurance_change,5
573,how can i find out about new insurance,insurance_change,5
574,i need to find new insurance,insurance_change,5
575,"i need to get new insurance, how do i do it",insurance_change,5
576,can you switch me to a new insurance plan,insurance_change,5
577,i would like to switch to a different insurance plan,insurance_change,5
578,help me switch to a new insurance plan,insurance_change,5
579,switch my insurance plan to a new one,insurance_change,5
580,what are my options for new insurance plans,insurance_change,5
581,i want to shop for new insurance plans,insurance_change,5
582,i would like to switch my insurance plan,insurance_change,5
583,help me find new insurance providers,insurance_change,5
584,i would like to compare insurance plan options,insurance_change,5
585,i need a new house insurance plan,insurance_change,5
586,i want to get a new car insurance plan,insurance_change,5
587,i need new health insurance,insurance_change,5
588,i want a new policy with long-term care insurance,insurance_change,5
589,i want a new motorcycle insurance plan,insurance_change,5
590,how do i adjust my insurance policy,insurance_change,5
591,my insurance policy needs to be adjusted,insurance_change,5
592,i am in need of a switch to my insurance plan,insurance_change,5
593,walk me through on how to change my insurance,insurance_change,5
594,i wish to request a change in insurance plans,insurance_change,5
595,i would like to alter my insurance plan,insurance_change,5
596,i need to know how to change my insurance,insurance_change,5
597,i want to switch my insurance coverage,insurance_change,5
598,help me change my insurance,insurance_change,5
599,how do i replace my insurance,insurance_change,5
600,i need help finding my mobile phone,find_phone,6
601,help me figure out where my cell phone is,find_phone,6
602,give me a hand finding my mobile device,find_phone,6
603,i can't find my cell and need help locating it,find_phone,6
604,can you help me find my cell,find_phone,6
605,"help, i cannot find my phone",find_phone,6
606,i can't seem to find my phone,find_phone,6
607,are you able to track a phone,find_phone,6
608,my phone cannot be found,find_phone,6
609,i have misplaced my phone,find_phone,6
610,i don't know where i left my phone,find_phone,6
611,i left my phone somewhere,find_phone,6
612,i am looking for my phone,find_phone,6
613,i need you to find my phone,find_phone,6
614,please locate my phone,find_phone,6
615,can you help me find my lost phone,find_phone,6
616,i need help figuring out where my phone is,find_phone,6
617,please help me figure out where my lost phone is,find_phone,6
618,"please help me find my phone, because i lost it",find_phone,6
619,"i lost my phone, can you help me find it",find_phone,6
620,who has seen my cellphone,find_phone,6
621,have you seen my cellphone,find_phone,6
622,can you find my cellphone,find_phone,6
623,find my cellphone,find_phone,6
624,please help me find my phone,find_phone,6
625,where my phone,find_phone,6
626,where was the last place i had my phone,find_phone,6
627,can you find my iphone,find_phone,6
628,i can't find my phone,find_phone,6
629,"call my phone, i can't find it",find_phone,6
630,can you find my lost phone,find_phone,6
631,do you know where my phone is,find_phone,6
632,can you help me find my cellphone,find_phone,6
633,can you call my cellphone,find_phone,6
634,my phone is lost - can you help me find it,find_phone,6
635,where is my phone,find_phone,6
636,ai can you help me find my phone,find_phone,6
637,"ai, i lost my phone, help me find it please",find_phone,6
638,"ai, please help me find my phone",find_phone,6
639,ai locate my phone,find_phone,6
640,ai find my phone,find_phone,6
641,how can i find my phone,find_phone,6
642,"my phone is lost, can you help with that",find_phone,6
643,i need to locate my phone,find_phone,6
644,find out where my phone is,find_phone,6
645,help me find my phone,find_phone,6
646,locate my phone please,find_phone,6
647,what is the location of my phone,find_phone,6
648,my phone is currently lost,find_phone,6
649,i don't remember where my phone is,find_phone,6
650,locate my phone for me,find_phone,6
651,the location of my phone is unknown to me,find_phone,6
652,find my phone,find_phone,6
653,i need to find my phone,find_phone,6
654,please aid in my searching for my lost phone,find_phone,6
655,please help me locate my phone,find_phone,6
656,where did i last place my phone,find_phone,6
657,can you assist me in locating my phone,find_phone,6
658,is my phone in the house,find_phone,6
659,i lost my phone and need help retrieving it,find_phone,6
660,help me search for my phone,find_phone,6
661,misplaced my phone,find_phone,6
662,can you help locate my phone,find_phone,6
663,"i need my phone, but can't find it",find_phone,6
664,i lost my phone and need assistance,find_phone,6
665,i don't know where my phone is,find_phone,6
666,i can't find my phone do you know where it is,find_phone,6
667,please tell me where my phone is,find_phone,6
668,can you help me find my phone,find_phone,6
669,do you know where my phone is located now,find_phone,6
670,can you track the location of my phone,find_phone,6
671,where can i find my phone,find_phone,6
672,can you locate my phone,find_phone,6
673,do you know where i left my phone,find_phone,6
674,where is my phone now,find_phone,6
675,"alexa, tell me the location of my phone",find_phone,6
676,"siri, where is my iphone",find_phone,6
677,"siri, tell me where my iphone is",find_phone,6
